Ryan Giggs
Paul Scholes
Gary Neville
Denis Irwin
Roy Keane
David Beckham
Nicky Butt
Phil Neville
Rio Ferdinand
Andrew Cole
Peter Schmeichel
Wes Brown
John O'Shea
Wayne Rooney
Alan Holmes
Alan Halvey
Brian Dunner
Greg Sloggett
Patrice Evra
Darren Fletcher
Michael Carrick
Eric Cantona
Brian McClair
Gary Pallister
Mikael Silvestre
Edwin van der Sar
Anderson
Nani
Didier Drogba
John Terry
Steve Bruce
Lee Sharpe
Dennis Bergkamp
Martin Keown
Ray Parlour
Patrick Vieira
Teddy Sheringham
Jaap Stam
Dwight Yorke
Ashley Cole
Ricardo Carvalho
Joe Cole
Frank Lampard
Paulo Ferreira
Cristiano Ronaldo
Carlos Tevez
Jonny Evans
Robert Huth
Mark Hughes
Paul Ince
Bryan Robson
Tony Adams
David Seaman
Lee Dixon
Nicolas Anelka
Fabien Barthez
Fredrik Ljungberg
Thierry Henry
Sol Campbell
Nwankwo Kanu
Damien Duff
William Gallas
Geremi
Arjen Robben
Michael Essien
Louis Saha
Dimitar Berbatov
Antonio Valencia
Chris Smalling
Joe Hart
Pablo Zabaleta
Aleksandar Kolarov
Joleon Lescott
Vincent Kompany
James Milner
Samir Nasri
David Silva
John Obi Mikel
Dion Dublin
Darren Ferguson
Mike Phelan
Tim Sherwood
Alan Shearer
Ian Pearce
Ian Wright
Marc Overmars
Emmanuel Petit
Remi Garde
Alex Manninger
Matthew Upson
Laurent Blanc
Roy Carroll
Ruud van Nistelrooy
Jens Lehmann
Gilberto Silva
Wayne Bridge
Glen Johnson
Gabriel Heinze
Kieran Richardson
Henrik Larsson
Alan Smith
Owen Hargreaves
Michael Ballack
Juliano Belletti
Salomon Kalou
Florent Malouda
Daniel Sturridge
Yuri Zhirkov
Michael Owen
Darron Gibson
Adam Johnson
Gareth Barry
Mario Balotelli
Micah Richards
Nigel de Jong
Robin van Persie
Danny Welbeck
Shinji Kagawa
David De Gea
Ashley Young
Tom Cleverley
Phil Jones
Anders Lindegaard
Alvaro Negredo
Javi Garcia
Jesus Navas
Jack Rodwell
Fernandinho
Martin Demichelis
Costel Pantilimon
Matija Nastasic
Stevan Jovetic
Cesc Fabregas
Cesar Azpilicueta
Diego Costa
Kurt Zouma
Oscar
Ramires
Willian
Filipe Luis
Gary Cahill
Nemanja Matic
Thibaut Courtois
Eden Hazard
Juan Cuadrado
Kasper Schmeichel
Danny Simpson
Christian Fuchs
Wes Morgan
Jeff Schlupp
Danny Drinkwater
Nathan Dyer
Andy King
Marc Albrighton
Demarai Gray
Riyad Mahrez
Leonardo Ulloa
Shinji Okazaki
Jamie Vardy
Daniel Amartey
Ritchie De Laet
